burst, startT [s], endT [s], relative startT [s], relative endT [s], cycle period [s], inst burstfreq [Hz], duration [s], dutycycle, interburst interval [s], #spikes , spikefreq in burst [Hz],Time,0 Channel 1
133,371.252592,371.614532,371.252592,371.614532,2.172572,0.460284,0.36194,0.166595,1.810632,25,66.309333,371.25259,10.856628
134,373.425164,375.389092,373.425164,375.389092,4.372572,0.228698,1.963928,0.449147,2.408644,123,62.120404,373.42516,10.866306
135,377.797736,378.211016,377.797736,378.211016,2.197136,0.455138,0.41328,0.188099,1.783856,25,58.072009,377.79774,10.879435
136,379.994872,383.288124,379.994872,383.288124,6.174308,0.161961,3.293252,0.53338,2.881056,208,62.855803,379.99487,10.883132
137,386.16918,386.567156,386.16918,386.567156,2.395808,0.417396,0.397976,0.166113,1.997832,25,60.305144,386.16918,11.109924
138,388.564988,389.274756,388.564988,389.274756,2.775952,0.360237,0.709768,0.255685,2.066184,46,63.400999,388.56499,11.034881
139,391.34094,391.912936,391.34094,391.912936,2.4656,0.405581,0.571996,0.231991,1.893604,36,61.189239,391.34094,11.092025
140,393.80654,394.879932,393.80654,394.879932,3.237532,0.308877,1.073392,0.331546,2.16414,68,62.418949,393.80654,11.152854
141,397.044072,397.51904,397.044072,397.51904,2.200528,0.454436,0.474968,0.215843,1.72556,28,56.845935,397.04407,11.283875
142,399.2446,400.823568,399.2446,400.823568,3.798348,0.263272,1.578968,0.415699,2.21938,99,62.065856,399.2446,11.349428
143,403.042948,403.440656,403.042948,403.440656,2.18604,0.457448,0.397708,0.181931,1.788332,25,60.345781,403.04295,11.480713
144,405.228988,406.156928,405.228988,406.156928,3.02872,0.330172,0.92794,0.30638,2.10078,55,58.193418,405.22899,11.590529
145,408.257708,408.76898,408.257708,408.76898,2.392276,0.418012,0.511272,0.213718,1.881004,35,66.500806,408.25771,11.683655
146,410.649984,411.965344,410.649984,411.965344,3.378788,0.295964,1.31536,0.389299,2.063428,81,60.819852,410.64998,11.786663
147,414.028772,414.441936,414.028772,414.441936,2.10892,0.474176,0.413164,0.195913,1.695756,25,58.088314,414.02877,11.878069
148,416.137692,417.564852,416.137692,417.564852,3.549604,0.281722,1.42716,0.402062,2.122444,86,59.558844,416.13769,11.949762
149,419.687296,420.162268,419.687296,420.162268,2.254868,0.443485,0.474972,0.210643,1.779896,28,56.845456,419.6873,12.055969
150,421.942164,423.595796,421.942164,423.595796,3.866824,0.25861,1.653632,0.427646,2.213192,102,61.077676,421.94216,12.121001
151,425.808988,426.262208,425.808988,426.262208,2.236288,0.44717,0.45322,0.202666,1.783068,25,52.954415,425.80899,12.17804
152,428.045276,429.531876,428.045276,429.531876,3.694252,0.270691,1.4866,0.402409,2.207652,87,57.850128,428.04528,12.229908
153,431.739528,432.163972,431.739528,432.163972,2.149148,0.465301,0.424444,0.197494,1.724704,27,61.256609,431.73953,12.290462
154,433.888676,435.596756,433.888676,435.596756,3.918608,0.255193,1.70808,0.435889,2.210528,103,59.716173,433.88868,12.320938
155,437.807284,438.18536,437.807284,438.18536,2.083552,0.47995,0.378076,0.181457,1.705476,25,63.4793,437.80728,12.369602
156,439.890836,441.544668,439.890836,441.544668,3.921092,0.255031,1.653832,0.421778,2.26726,97,58.047008,439.89084,12.393188
157,443.811928,444.20072,443.811928,444.20072,2.101344,0.475886,0.388792,0.185021,1.712552,26,64.301735,443.81193,12.362307
158,445.913272,447.582428,445.913272,447.582428,3.80418,0.262869,1.669156,0.438769,2.135024,103,61.108728,445.91327,12.380981
159,449.717452,450.122096,449.717452,450.122096,2.211504,0.452181,0.404644,0.182972,1.80686,26,61.782703,449.71745,12.406739
160,451.928956,453.315948,451.928956,453.315948,3.54206,0.282322,1.386992,0.391578,2.155068,87,62.004684,451.92896,12.417491
161,455.471016,455.880536,455.471016,455.880536,2.169588,0.460917,0.40952,0.188755,1.760068,26,61.04708,455.47102,12.437592
162,457.640604,460.128852,457.640604,460.128852,4.999148,0.200034,2.488248,0.497734,2.5109,157,62.694715,457.6406,12.442145
163,462.639752,463.029996,462.639752,463.029996,2.295956,0.435548,0.390244,0.16997,1.905712,26,64.062484,462.63975,12.464646
